Tiempo [s]/	Frecuencia [Hz]	/	Intesidad [dB] 	/	Formante 1 [Hz]	/	Formante 2 [Hz]	/	Formante 3 [Hz]
0.0223    /	440.34         	/	63.36          	/	443.42         	/	1817.37        	/	2864.52        
0.0323    /	439.84         	/	63.36          	/	443.10         	/	2001.16        	/	3318.44        
0.0423    /	439.81         	/	63.33          	/	444.05         	/	1845.58        	/	3242.46        
0.0523    /	440.01         	/	63.36          	/	445.23         	/	1846.83        	/	2726.99        
0.0623    /	440.45         	/	63.39          	/	446.22         	/	1873.14        	/	2433.92        
0.0723    /	440.13         	/	63.40          	/	443.91         	/	1710.76        	/	2802.16        
0.0823    /	440.05         	/	63.38          	/	446.49         	/	1481.23        	/	2873.01        
0.0923    /	439.78         	/	63.34          	/	448.93         	/	1602.88        	/	2741.10        
0.1023    /	440.25         	/	63.34          	/	445.25         	/	1451.76        	/	2670.88        
0.1123    /	440.24         	/	63.41          	/	444.28         	/	1643.71        	/	2861.28        
0.1223    /	440.28         	/	63.55          	/	447.03         	/	1321.86        	/	2685.74        
0.1323    /	440.19         	/	63.58          	/	442.74         	/	1895.70        	/	3059.79        
0.1423    /	439.78         	/	63.50          	/	440.87         	/	1791.06        	/	2881.06        
0.1523    /	440.04         	/	63.40          	/	443.00         	/	1617.84        	/	2665.00        
0.1623    /	440.28         	/	63.33          	/	446.81         	/	1992.84        	/	2231.18        
0.1723    /	440.17         	/	63.34          	/	443.95         	/	1804.24        	/	2914.55        
0.1823    /	440.04         	/	63.41          	/	443.20         	/	1772.50        	/	2739.47        
0.1923    /	439.66         	/	63.45          	/	443.33         	/	1852.89        	/	3196.89        
0.2023    /	440.07         	/	63.38          	/	447.75         	/	1555.14        	/	2776.17        
0.2123    /	440.26         	/	63.29          	/	444.42         	/	1588.89        	/	2628.75        
0.2223    /	440.12         	/	63.33          	/	447.61         	/	1406.67        	/	2769.04        
0.2323    /	440.46         	/	63.42          	/	447.65         	/	1631.69        	/	2824.46        
0.2423    /	440.25         	/	63.49          	/	445.90         	/	1373.48        	/	2670.28        
0.2523    /	439.84         	/	63.48          	/	441.65         	/	1467.06        	/	2586.61        
0.2623    /	440.06         	/	63.45          	/	442.41         	/	1513.36        	/	2635.04        
0.2723    /	440.07         	/	63.50          	/	443.25         	/	1788.74        	/	2499.23        
0.2823    /	439.93         	/	63.51          	/	444.73         	/	1599.73        	/	2577.05        
0.2923    /	440.23         	/	63.43          	/	443.38         	/	1535.03        	/	2662.56        
0.3023    /	439.93         	/	63.31          	/	442.41         	/	1842.27        	/	2910.22        
0.3123    /	440.04         	/	63.30          	/	444.13         	/	1670.36        	/	2719.50        
0.3223    /	440.30         	/	63.40          	/	443.20         	/	1659.28        	/	3043.77        
0.3323    /	440.08         	/	63.44          	/	441.11         	/	1700.53        	/	2863.41        
0.3423    /	439.99         	/	63.47          	/	441.74         	/	1809.45        	/	2853.08        
0.3523    /	440.02         	/	63.51          	/	441.76         	/	1853.69        	/	2977.75        
0.3623    /	439.95         	/	63.52          	/	441.70         	/	1727.69        	/	2970.42        
0.3723    /	439.96         	/	63.54          	/	441.39         	/	1800.32        	/	2895.62        
0.3823    /	439.87         	/	63.59          	/	441.06         	/	1661.75        	/	2691.65        
0.3923    /	440.18         	/	63.60          	/	440.81         	/	1783.71        	/	2843.05        
0.4023    /	439.94         	/	63.59          	/	440.76         	/	1690.65        	/	2770.28        
0.4123    /	439.73         	/	63.57          	/	441.17         	/	1755.38        	/	2583.47        
0.4223    /	440.20         	/	63.60          	/	442.13         	/	1884.80        	/	2681.92        
0.4323    /	440.05         	/	63.58          	/	441.47         	/	1724.09        	/	2954.69        
0.4423    /	439.97         	/	63.51          	/	441.40         	/	1630.92        	/	2780.60        
0.4523    /	439.95         	/	63.54          	/	440.67         	/	1772.57        	/	2855.53        
0.4623    /	440.05         	/	63.58          	/	441.05         	/	1827.01        	/	2863.61        
0.4723    /	440.07         	/	63.60          	/	441.45         	/	1747.66        	/	2983.66        
0.4823    /	439.96         	/	63.55          	/	443.34         	/	1601.37        	/	3085.77        
0.4923    /	439.86         	/	63.55          	/	441.81         	/	1602.54        	/	3068.35        
0.5023    /	439.99         	/	63.55          	/	441.41         	/	1659.86        	/	2963.92        
0.5123    /	440.17         	/	63.57          	/	441.48         	/	1780.41        	/	2715.05        
0.5223    /	440.09         	/	63.57          	/	442.00         	/	1889.47        	/	2665.51        
0.5323    /	439.89         	/	63.55          	/	443.28         	/	1672.12        	/	2634.77        
0.5423    /	440.09         	/	63.54          	/	444.79         	/	1727.40        	/	3056.84        
0.5523    /	440.14         	/	63.52          	/	444.79         	/	1864.58        	/	2546.06        
0.5623    /	440.10         	/	63.49          	/	446.61         	/	1868.70        	/	2877.38        
0.5723    /	440.28         	/	63.51          	/	442.33         	/	1614.81        	/	2835.82        
0.5823    /	440.30         	/	63.51          	/	443.78         	/	1360.07        	/	2773.82        
0.5923    /	440.12         	/	63.54          	/	442.30         	/	1630.33        	/	2580.04        
0.6023    /	439.91         	/	63.55          	/	440.96         	/	1759.17        	/	2627.38        
0.6123    /	439.88         	/	63.58          	/	441.05         	/	1769.04        	/	2485.03        
0.6223    /	440.01         	/	63.64          	/	441.14         	/	1658.75        	/	2563.47        
0.6323    /	440.18         	/	63.64          	/	441.77         	/	1703.64        	/	2681.20        
0.6423    /	439.85         	/	63.65          	/	441.26         	/	1794.99        	/	3007.15        
0.6523    /	439.97         	/	63.67          	/	441.58         	/	1651.07        	/	2765.60        
0.6623    /	440.01         	/	63.68          	/	441.77         	/	1909.57        	/	2617.27        
0.6723    /	440.10         	/	63.65          	/	441.61         	/	1663.42        	/	2558.23        
0.6823    /	439.90         	/	63.60          	/	444.14         	/	1489.84        	/	2822.60        
0.6923    /	439.91         	/	63.52          	/	442.21         	/	1766.33        	/	2705.73        
0.7023    /	440.15         	/	63.53          	/	441.76         	/	1839.64        	/	2746.45        
0.7123    /	440.05         	/	63.57          	/	441.27         	/	1737.43        	/	2763.88        
0.7223    /	440.07         	/	63.60          	/	441.15         	/	1895.32        	/	2688.29        
