Tiempo [s]/	Frecuencia [Hz]	/	Intesidad [dB] 	/	Formante 1 [Hz]	/	Formante 2 [Hz]	/	Formante 3 [Hz]
0.0210    /	nan            	/	-7.12          	/	nan            	/	nan            	/	nan            
0.0310    /	nan            	/	-7.12          	/	nan            	/	nan            	/	nan            
0.0410    /	nan            	/	6.32           	/	nan            	/	nan            	/	nan            
0.0510    /	nan            	/	16.20          	/	nan            	/	nan            	/	nan            
0.0610    /	nan            	/	22.56          	/	nan            	/	nan            	/	nan            
0.0710    /	nan            	/	26.26          	/	nan            	/	nan            	/	nan            
0.0810    /	nan            	/	28.33          	/	nan            	/	nan            	/	nan            
0.0910    /	nan            	/	33.57          	/	nan            	/	nan            	/	nan            
0.1010    /	nan            	/	38.26          	/	nan            	/	nan            	/	nan            
0.1110    /	nan            	/	37.79          	/	nan            	/	nan            	/	nan            
0.1210    /	nan            	/	35.48          	/	nan            	/	nan            	/	nan            
0.1310    /	nan            	/	35.52          	/	nan            	/	nan            	/	nan            
0.1410    /	nan            	/	37.44          	/	nan            	/	nan            	/	nan            
0.1510    /	nan            	/	39.73          	/	nan            	/	nan            	/	nan            
0.1610    /	nan            	/	40.19          	/	nan            	/	nan            	/	nan            
0.1710    /	nan            	/	40.97          	/	nan            	/	nan            	/	nan            
0.1810    /	nan            	/	41.98          	/	nan            	/	nan            	/	nan            
0.1910    /	nan            	/	39.52          	/	nan            	/	nan            	/	nan            
0.2010    /	nan            	/	36.20          	/	nan            	/	nan            	/	nan            
0.2110    /	nan            	/	35.97          	/	nan            	/	nan            	/	nan            
0.2210    /	nan            	/	35.73          	/	nan            	/	nan            	/	nan            
0.2310    /	nan            	/	34.67          	/	nan            	/	nan            	/	nan            
0.2410    /	nan            	/	34.71          	/	nan            	/	nan            	/	nan            
0.2510    /	nan            	/	37.09          	/	nan            	/	nan            	/	nan            
0.2610    /	nan            	/	37.71          	/	nan            	/	nan            	/	nan            
0.2710    /	nan            	/	37.14          	/	nan            	/	nan            	/	nan            
0.2810    /	nan            	/	37.67          	/	nan            	/	nan            	/	nan            
0.2910    /	nan            	/	38.68          	/	nan            	/	nan            	/	nan            
0.3010    /	nan            	/	36.99          	/	nan            	/	nan            	/	nan            
0.3110    /	nan            	/	33.90          	/	nan            	/	nan            	/	nan            
0.3210    /	nan            	/	32.98          	/	nan            	/	nan            	/	nan            
0.3310    /	nan            	/	32.34          	/	nan            	/	nan            	/	nan            
0.3410    /	nan            	/	32.49          	/	nan            	/	nan            	/	nan            
0.3510    /	nan            	/	33.00          	/	nan            	/	nan            	/	nan            
0.3610    /	nan            	/	32.78          	/	nan            	/	nan            	/	nan            
0.3710    /	nan            	/	35.69          	/	nan            	/	nan            	/	nan            
0.3810    /	nan            	/	37.95          	/	nan            	/	nan            	/	nan            
0.3910    /	nan            	/	38.03          	/	nan            	/	nan            	/	nan            
0.4010    /	nan            	/	38.16          	/	nan            	/	nan            	/	nan            
0.4110    /	nan            	/	37.53          	/	nan            	/	nan            	/	nan            
0.4210    /	nan            	/	35.62          	/	nan            	/	nan            	/	nan            
0.4310    /	nan            	/	33.82          	/	nan            	/	nan            	/	nan            
0.4410    /	nan            	/	33.52          	/	nan            	/	nan            	/	nan            
0.4510    /	nan            	/	35.98          	/	nan            	/	nan            	/	nan            
0.4610    /	nan            	/	37.89          	/	nan            	/	nan            	/	nan            
0.4710    /	nan            	/	37.24          	/	nan            	/	nan            	/	nan            
0.4810    /	nan            	/	35.38          	/	nan            	/	nan            	/	nan            
0.4910    /	nan            	/	34.22          	/	nan            	/	nan            	/	nan            
0.5010    /	nan            	/	35.66          	/	nan            	/	nan            	/	nan            
0.5110    /	nan            	/	37.24          	/	nan            	/	nan            	/	nan            
0.5210    /	nan            	/	36.59          	/	nan            	/	nan            	/	nan            
0.5310    /	nan            	/	36.54          	/	nan            	/	nan            	/	nan            
0.5410    /	nan            	/	37.19          	/	nan            	/	nan            	/	nan            
0.5510    /	nan            	/	36.27          	/	nan            	/	nan            	/	nan            
0.5610    /	nan            	/	36.67          	/	nan            	/	nan            	/	nan            
0.5710    /	nan            	/	36.29          	/	nan            	/	nan            	/	nan            
0.5810    /	nan            	/	34.95          	/	nan            	/	nan            	/	nan            
0.5910    /	nan            	/	35.11          	/	nan            	/	nan            	/	nan            
0.6010    /	nan            	/	34.68          	/	nan            	/	nan            	/	nan            
0.6110    /	nan            	/	35.02          	/	nan            	/	nan            	/	nan            
0.6210    /	nan            	/	35.66          	/	nan            	/	nan            	/	nan            
0.6310    /	nan            	/	36.08          	/	nan            	/	nan            	/	nan            
0.6410    /	nan            	/	36.64          	/	nan            	/	nan            	/	nan            
0.6510    /	nan            	/	35.64          	/	nan            	/	nan            	/	nan            
0.6610    /	nan            	/	34.79          	/	nan            	/	nan            	/	nan            
0.6710    /	nan            	/	34.31          	/	nan            	/	nan            	/	nan            
0.6810    /	nan            	/	33.27          	/	nan            	/	nan            	/	nan            
0.6910    /	nan            	/	34.18          	/	nan            	/	nan            	/	nan            
0.7010    /	nan            	/	36.02          	/	nan            	/	nan            	/	nan            
0.7110    /	nan            	/	36.18          	/	nan            	/	nan            	/	nan            
0.7210    /	nan            	/	35.06          	/	nan            	/	nan            	/	nan            
0.7310    /	nan            	/	36.10          	/	nan            	/	nan            	/	nan            
0.7410    /	nan            	/	47.94          	/	nan            	/	nan            	/	nan            
0.7510    /	nan            	/	65.70          	/	nan            	/	nan            	/	nan            
0.7610    /	nan            	/	75.76          	/	nan            	/	nan            	/	nan            
0.7710    /	206.38         	/	79.62          	/	805.06         	/	1529.53        	/	2838.18        
0.7810    /	215.27         	/	80.26          	/	803.96         	/	1513.96        	/	2856.00        
0.7910    /	217.49         	/	79.92          	/	792.48         	/	1509.14        	/	2457.25        
0.8010    /	218.80         	/	79.66          	/	796.76         	/	1542.52        	/	2884.35        
0.8110    /	219.75         	/	79.23          	/	790.16         	/	1544.18        	/	2893.59        
0.8210    /	222.07         	/	78.75          	/	785.88         	/	1553.45        	/	2924.00        
0.8310    /	223.15         	/	78.38          	/	774.76         	/	1566.47        	/	2973.45        
0.8410    /	223.40         	/	78.16          	/	781.90         	/	1575.85        	/	2926.02        
0.8510    /	223.66         	/	78.02          	/	777.78         	/	1576.53        	/	2911.05        
0.8610    /	223.69         	/	77.92          	/	765.64         	/	1552.84        	/	2936.88        
0.8710    /	224.16         	/	77.83          	/	766.21         	/	1541.67        	/	2936.72        
0.8810    /	225.41         	/	77.60          	/	761.38         	/	1554.37        	/	2956.68        
0.8910    /	226.72         	/	77.26          	/	767.93         	/	1567.86        	/	2933.99        
0.9010    /	227.05         	/	76.94          	/	762.27         	/	1560.81        	/	2912.78        
0.9110    /	226.89         	/	76.66          	/	760.74         	/	1570.79        	/	2922.63        
0.9210    /	226.15         	/	76.30          	/	758.49         	/	1568.70        	/	2902.29        
0.9310    /	225.95         	/	75.99          	/	735.99         	/	1553.29        	/	2913.63        
0.9410    /	226.48         	/	75.80          	/	762.58         	/	1572.21        	/	2873.64        
0.9510    /	226.52         	/	75.58          	/	751.97         	/	1561.16        	/	2881.59        
0.9610    /	227.02         	/	75.47          	/	736.07         	/	1564.71        	/	2898.21        
0.9710    /	227.52         	/	75.57          	/	735.75         	/	1574.46        	/	2898.32        
0.9810    /	227.31         	/	75.51          	/	744.74         	/	1580.75        	/	2919.73        
0.9910    /	226.97         	/	75.35          	/	763.54         	/	1573.39        	/	2934.79        
1.0010    /	226.39         	/	75.26          	/	745.48         	/	1566.02        	/	2950.14        
1.0110    /	226.10         	/	75.11          	/	746.22         	/	1550.30        	/	2961.47        
1.0210    /	226.06         	/	74.92          	/	723.04         	/	1561.82        	/	2942.63        
1.0310    /	225.94         	/	74.72          	/	744.16         	/	1556.63        	/	2986.39        
1.0410    /	226.21         	/	74.50          	/	758.37         	/	1572.56        	/	2938.06        
1.0510    /	226.63         	/	74.42          	/	780.57         	/	1565.83        	/	2954.33        
1.0610    /	226.55         	/	74.33          	/	778.54         	/	1587.70        	/	3030.63        
1.0710    /	226.96         	/	74.30          	/	743.27         	/	1528.89        	/	2982.28        
1.0810    /	227.78         	/	74.31          	/	750.19         	/	1560.97        	/	2989.41        
1.0910    /	227.85         	/	74.29          	/	767.56         	/	1581.20        	/	2970.01        
1.1010    /	228.14         	/	74.28          	/	770.74         	/	1578.67        	/	2956.76        
1.1110    /	228.61         	/	74.25          	/	765.41         	/	1574.13        	/	2947.65        
1.1210    /	228.74         	/	74.14          	/	761.84         	/	1575.23        	/	2896.63        
1.1310    /	228.61         	/	74.05          	/	771.99         	/	1569.57        	/	2929.36        
1.1410    /	228.91         	/	73.93          	/	778.72         	/	1573.06        	/	2952.61        
1.1510    /	229.08         	/	73.80          	/	771.19         	/	1571.84        	/	2950.79        
1.1610    /	229.41         	/	73.80          	/	776.37         	/	1575.17        	/	2988.06        
1.1710    /	229.94         	/	73.82          	/	780.68         	/	1586.16        	/	2962.45        
1.1810    /	230.28         	/	73.84          	/	789.06         	/	1577.62        	/	2970.71        
1.1910    /	230.02         	/	73.79          	/	778.02         	/	1573.77        	/	3003.02        
1.2010    /	229.79         	/	73.77          	/	782.32         	/	1591.66        	/	3037.62        
1.2110    /	230.04         	/	73.78          	/	789.20         	/	1582.90        	/	3038.78        
1.2210    /	230.22         	/	73.77          	/	778.30         	/	1569.16        	/	2987.47        
