Tiempo [s]/	Frecuencia [Hz]	/	Intesidad [dB] 	/	Formante 1 [Hz]	/	Formante 2 [Hz]	/	Formante 3 [Hz]
0.0210    /	263.80         	/	81.79          	/	nan            	/	nan            	/	nan            
0.0310    /	264.70         	/	81.79          	/	1247.85        	/	1257.23        	/	2194.33        
0.0410    /	265.14         	/	81.39          	/	1240.32        	/	1276.62        	/	2183.30        
0.0510    /	265.31         	/	81.18          	/	1191.62        	/	1273.54        	/	2167.81        
0.0610    /	264.65         	/	80.99          	/	1154.38        	/	1278.08        	/	2155.31        
0.0710    /	264.35         	/	80.87          	/	1145.64        	/	1286.27        	/	2155.28        
0.0810    /	263.79         	/	80.68          	/	1142.60        	/	1285.40        	/	2151.60        
0.0910    /	263.36         	/	80.63          	/	1181.90        	/	1267.24        	/	2149.70        
0.1010    /	263.15         	/	80.74          	/	1129.31        	/	1294.54        	/	2154.13        
0.1110    /	263.36         	/	81.14          	/	1099.71        	/	1314.07        	/	2166.44        
0.1210    /	263.53         	/	81.70          	/	1098.35        	/	1320.42        	/	2175.65        
0.1310    /	264.63         	/	81.87          	/	1100.22        	/	1319.55        	/	2173.07        
0.1410    /	266.72         	/	81.62          	/	1057.70        	/	1348.20        	/	2164.12        
0.1510    /	269.57         	/	81.04          	/	1050.68        	/	1380.39        	/	2163.32        
0.1610    /	272.44         	/	80.55          	/	1064.35        	/	1400.29        	/	2167.99        
0.1710    /	275.90         	/	80.09          	/	1079.71        	/	1418.20        	/	2188.57        
0.1810    /	281.23         	/	79.51          	/	1108.14        	/	1465.51        	/	2185.77        
0.1910    /	286.98         	/	78.55          	/	1070.92        	/	1422.88        	/	2160.46        
0.2010    /	295.44         	/	77.34          	/	1082.98        	/	1294.67        	/	2130.65        
0.2110    /	302.04         	/	76.39          	/	936.51         	/	1299.44        	/	2138.99        
0.2210    /	306.58         	/	74.73          	/	765.44         	/	1317.89        	/	2128.67        
0.2310    /	309.70         	/	71.89          	/	646.96         	/	1347.91        	/	2101.84        
0.2410    /	317.20         	/	67.94          	/	525.39         	/	1333.20        	/	2036.47        
0.2510    /	329.42         	/	62.72          	/	441.27         	/	1385.42        	/	2142.26        
0.2610    /	nan            	/	56.22          	/	nan            	/	nan            	/	nan            
0.2710    /	nan            	/	50.52          	/	nan            	/	nan            	/	nan            
0.2810    /	nan            	/	47.82          	/	nan            	/	nan            	/	nan            
0.2910    /	nan            	/	47.77          	/	nan            	/	nan            	/	nan            
0.3010    /	nan            	/	48.63          	/	nan            	/	nan            	/	nan            
0.3110    /	nan            	/	48.26          	/	nan            	/	nan            	/	nan            
0.3210    /	nan            	/	48.45          	/	nan            	/	nan            	/	nan            
0.3310    /	nan            	/	49.46          	/	nan            	/	nan            	/	nan            
0.3410    /	nan            	/	49.49          	/	nan            	/	nan            	/	nan            
0.3510    /	nan            	/	49.40          	/	nan            	/	nan            	/	nan            
0.3610    /	nan            	/	49.71          	/	nan            	/	nan            	/	nan            
0.3710    /	nan            	/	48.95          	/	nan            	/	nan            	/	nan            
0.3810    /	nan            	/	48.36          	/	nan            	/	nan            	/	nan            
0.3910    /	nan            	/	48.77          	/	nan            	/	nan            	/	nan            
0.4010    /	nan            	/	49.08          	/	nan            	/	nan            	/	nan            
0.4110    /	nan            	/	49.13          	/	nan            	/	nan            	/	nan            
0.4210    /	nan            	/	49.56          	/	nan            	/	nan            	/	nan            
0.4310    /	nan            	/	50.31          	/	nan            	/	nan            	/	nan            
0.4410    /	nan            	/	51.30          	/	nan            	/	nan            	/	nan            
0.4510    /	nan            	/	50.87          	/	nan            	/	nan            	/	nan            
0.4610    /	nan            	/	50.61          	/	nan            	/	nan            	/	nan            
0.4710    /	nan            	/	50.51          	/	nan            	/	nan            	/	nan            
0.4810    /	nan            	/	49.79          	/	nan            	/	nan            	/	nan            
0.4910    /	nan            	/	49.79          	/	nan            	/	nan            	/	nan            
