Time [s]  /	Frequency [Hz] 	/	Power [dB]     
0.1008    /	7.81           	/	-13.30         
0.1008    /	27.34          	/	-14.39         
0.1008    /	46.88          	/	-5.57          
0.1008    /	66.41          	/	10.24          
0.1008    /	85.94          	/	-7.47          
0.1008    /	105.47         	/	-5.49          
0.1008    /	125.00         	/	-4.71          
0.1008    /	144.53         	/	-9.22          
0.1008    /	164.06         	/	-13.90         
0.1008    /	183.59         	/	4.79           
0.1008    /	203.12         	/	8.30           
0.1008    /	222.66         	/	12.48          
0.1008    /	242.19         	/	44.01          
0.1008    /	261.72         	/	78.38          
0.1008    /	281.25         	/	55.94          
0.1008    /	300.78         	/	10.78          
0.1008    /	320.31         	/	-1.60          
0.1008    /	339.84         	/	-0.29          
0.1008    /	359.38         	/	9.57           
0.1008    /	378.91         	/	2.57           
0.1008    /	398.44         	/	3.97           
0.1008    /	417.97         	/	-3.90          
0.1008    /	437.50         	/	-5.44          
0.1008    /	457.03         	/	3.34           
0.1008    /	476.56         	/	-4.38          
0.1008    /	496.09         	/	12.48          
0.1008    /	515.62         	/	73.88          
0.1008    /	535.16         	/	77.68          
0.1008    /	554.69         	/	6.89           
0.1008    /	574.22         	/	7.26           
0.1008    /	593.75         	/	16.17          
0.1008    /	613.28         	/	1.13           
0.1008    /	632.81         	/	1.71           
0.1008    /	652.34         	/	8.61           
0.1008    /	671.88         	/	-3.88          
0.1008    /	691.41         	/	15.99          
0.1008    /	710.94         	/	8.21           
0.1008    /	730.47         	/	11.32          
0.1008    /	750.00         	/	19.74          
0.1008    /	769.53         	/	48.45          
0.1008    /	789.06         	/	80.80          
0.1008    /	808.59         	/	56.10          
0.1008    /	828.12         	/	22.85          
0.1008    /	847.66         	/	23.06          
0.1008    /	867.19         	/	7.89           
0.1008    /	886.72         	/	17.33          
0.1008    /	906.25         	/	4.45           
0.1008    /	925.78         	/	0.75           
0.1008    /	945.31         	/	5.18           
0.1008    /	964.84         	/	15.93          
0.1008    /	984.38         	/	17.95          
0.1008    /	1003.91        	/	25.36          
0.1008    /	1023.44        	/	33.81          
0.1008    /	1042.97        	/	91.54          
0.1008    /	1062.50        	/	93.79          
0.1008    /	1082.03        	/	49.72          
0.1008    /	1101.56        	/	41.35          
0.1008    /	1121.09        	/	33.20          
0.1008    /	1140.62        	/	15.70          
0.1008    /	1160.16        	/	24.11          
0.1008    /	1179.69        	/	29.37          
0.1008    /	1199.22        	/	25.21          
0.1008    /	1218.75        	/	34.11          
0.1008    /	1238.28        	/	28.88          
0.1008    /	1257.81        	/	45.16          
0.1008    /	1277.34        	/	46.21          
0.1008    /	1296.88        	/	78.61          
0.1008    /	1316.41        	/	107.25         
0.1008    /	1335.94        	/	81.93          
0.1008    /	1355.47        	/	43.40          
0.1008    /	1375.00        	/	31.17          
0.1008    /	1394.53        	/	17.27          
0.1008    /	1414.06        	/	15.36          
0.1008    /	1433.59        	/	14.38          
0.1008    /	1453.12        	/	11.54          
0.1008    /	1472.66        	/	9.29           
0.1008    /	1492.19        	/	27.37          
0.1008    /	1511.72        	/	15.68          
0.1008    /	1531.25        	/	19.99          
0.1008    /	1550.78        	/	30.16          
0.1008    /	1570.31        	/	71.47          
0.1008    /	1589.84        	/	72.33          
0.1008    /	1609.38        	/	34.68          
0.1008    /	1628.91        	/	20.98          
0.1008    /	1648.44        	/	18.58          
0.1008    /	1667.97        	/	14.67          
0.1008    /	1687.50        	/	9.68           
0.1008    /	1707.03        	/	8.40           
0.1008    /	1726.56        	/	-9.71          
0.1008    /	1746.09        	/	4.41           
0.1008    /	1765.62        	/	18.07          
0.1008    /	1785.16        	/	2.66           
0.1008    /	1804.69        	/	30.73          
0.1008    /	1824.22        	/	62.62          
0.1008    /	1843.75        	/	83.85          
0.1008    /	1863.28        	/	56.32          
0.1008    /	1882.81        	/	33.48          
0.1008    /	1902.34        	/	22.67          
0.1008    /	1921.88        	/	10.51          
0.1008    /	1941.41        	/	5.69           
0.1008    /	1960.94        	/	11.80          
0.1008    /	1980.47        	/	-0.83          
0.1008    /	2000.00        	/	2.06           
0.1008    /	2019.53        	/	14.54          
0.1008    /	2039.06        	/	23.75          
0.1008    /	2058.59        	/	42.38          
0.1008    /	2078.12        	/	51.42          
0.1008    /	2097.66        	/	92.25          
0.1008    /	2117.19        	/	92.37          
0.1008    /	2136.72        	/	54.83          
0.1008    /	2156.25        	/	52.32          
0.1008    /	2175.78        	/	46.92          
0.1008    /	2195.31        	/	32.29          
0.1008    /	2214.84        	/	31.49          
0.1008    /	2234.38        	/	18.67          
0.1008    /	2253.91        	/	24.82          
0.1008    /	2273.44        	/	23.42          
0.1008    /	2292.97        	/	26.02          
0.1008    /	2312.50        	/	22.26          
0.1008    /	2332.03        	/	34.48          
0.1008    /	2351.56        	/	62.56          
0.1008    /	2371.09        	/	82.59          
0.1008    /	2390.62        	/	56.29          
0.1008    /	2410.16        	/	27.49          
0.1008    /	2429.69        	/	31.27          
0.1008    /	2449.22        	/	0.88           
0.1008    /	2468.75        	/	11.43          
0.1008    /	2488.28        	/	16.95          
0.1008    /	2507.81        	/	-5.13          
0.1008    /	2527.34        	/	-15.21         
0.1008    /	2546.88        	/	-7.14          
0.1008    /	2566.41        	/	4.49           
0.1008    /	2585.94        	/	21.44          
0.1008    /	2605.47        	/	22.66          
0.1008    /	2625.00        	/	59.49          
0.1008    /	2644.53        	/	56.72          
0.1008    /	2664.06        	/	29.99          
0.1008    /	2683.59        	/	14.21          
0.1008    /	2703.12        	/	15.33          
0.1008    /	2722.66        	/	-8.37          
0.1008    /	2742.19        	/	4.64           
0.1008    /	2761.72        	/	-6.16          
0.1008    /	2781.25        	/	-9.38          
0.1008    /	2800.78        	/	-3.39          
0.1008    /	2820.31        	/	1.39           
0.1008    /	2839.84        	/	8.26           
0.1008    /	2859.38        	/	14.66          
0.1008    /	2878.91        	/	45.57          
0.1008    /	2898.44        	/	61.11          
0.1008    /	2917.97        	/	36.15          
0.1008    /	2937.50        	/	20.09          
0.1008    /	2957.03        	/	21.00          
0.1008    /	2976.56        	/	10.96          
0.1008    /	2996.09        	/	-1.79          
0.1008    /	3015.62        	/	4.18           
0.1008    /	3035.16        	/	-3.47          
0.1008    /	3054.69        	/	-8.46          
0.1008    /	3074.22        	/	-4.20          
0.1008    /	3093.75        	/	0.62           
0.1008    /	3113.28        	/	11.39          
0.1008    /	3132.81        	/	16.35          
0.1008    /	3152.34        	/	56.64          
0.1008    /	3171.88        	/	57.54          
0.1008    /	3191.41        	/	32.98          
0.1008    /	3210.94        	/	20.31          
0.1008    /	3230.47        	/	11.82          
0.1008    /	3250.00        	/	14.54          
0.1008    /	3269.53        	/	-1.72          
0.1008    /	3289.06        	/	-7.68          
0.1008    /	3308.59        	/	-7.05          
0.1008    /	3328.12        	/	6.52           
0.1008    /	3347.66        	/	-8.91          
0.1008    /	3367.19        	/	10.55          
0.1008    /	3386.72        	/	10.34          
0.1008    /	3406.25        	/	24.08          
0.1008    /	3425.78        	/	46.53          
0.1008    /	3445.31        	/	29.33          
0.1008    /	3464.84        	/	13.11          
0.1008    /	3484.38        	/	10.37          
0.1008    /	3503.91        	/	-0.44          
0.1008    /	3523.44        	/	-0.34          
0.1008    /	3542.97        	/	2.60           
0.1008    /	3562.50        	/	9.56           
0.1008    /	3582.03        	/	5.84           
0.1008    /	3601.56        	/	-7.18          
0.1008    /	3621.09        	/	12.83          
0.1008    /	3640.62        	/	11.62          
0.1008    /	3660.16        	/	27.79          
0.1008    /	3679.69        	/	59.29          
0.1008    /	3699.22        	/	55.57          
0.1008    /	3718.75        	/	28.17          
0.1008    /	3738.28        	/	14.58          
0.1008    /	3757.81        	/	15.48          
0.1008    /	3777.34        	/	11.12          
0.1008    /	3796.88        	/	5.73           
0.1008    /	3816.41        	/	3.05           
0.1008    /	3835.94        	/	-12.67         
0.1008    /	3855.47        	/	-16.46         
0.1008    /	3875.00        	/	-16.82         
0.1008    /	3894.53        	/	-7.03          
0.1008    /	3914.06        	/	-5.95          
0.1008    /	3933.59        	/	27.65          
0.1008    /	3953.12        	/	44.91          
0.1008    /	3972.66        	/	20.73          
0.1079    /	7.81           	/	-13.77         
0.1079    /	27.34          	/	-13.62         
0.1079    /	46.88          	/	-6.42          
0.1079    /	66.41          	/	10.24          
0.1079    /	85.94          	/	-3.45          
0.1079    /	105.47         	/	-1.33          
0.1079    /	125.00         	/	-3.12          
0.1079    /	144.53         	/	-11.02         
0.1079    /	164.06         	/	-10.56         
0.1079    /	183.59         	/	6.91           
0.1079    /	203.12         	/	5.95           
0.1079    /	222.66         	/	10.26          
0.1079    /	242.19         	/	44.29          
0.1079    /	261.72         	/	78.63          
0.1079    /	281.25         	/	56.35          
0.1079    /	300.78         	/	5.88           
0.1079    /	320.31         	/	-6.42          
0.1079    /	339.84         	/	-1.50          
0.1079    /	359.38         	/	8.05           
0.1079    /	378.91         	/	5.44           
0.1079    /	398.44         	/	4.71           
0.1079    /	417.97         	/	-3.91          
0.1079    /	437.50         	/	-3.24          
0.1079    /	457.03         	/	3.29           
0.1079    /	476.56         	/	-3.29          
0.1079    /	496.09         	/	10.28          
0.1079    /	515.62         	/	73.56          
0.1079    /	535.16         	/	77.89          
0.1079    /	554.69         	/	14.77          
0.1079    /	574.22         	/	7.26           
0.1079    /	593.75         	/	17.32          
0.1079    /	613.28         	/	2.43           
0.1079    /	632.81         	/	-4.30          
0.1079    /	652.34         	/	4.80           
0.1079    /	671.88         	/	-9.39          
0.1079    /	691.41         	/	14.97          
0.1079    /	710.94         	/	10.29          
0.1079    /	730.47         	/	9.27           
0.1079    /	750.00         	/	19.31          
0.1079    /	769.53         	/	49.46          
0.1079    /	789.06         	/	80.86          
0.1079    /	808.59         	/	58.90          
0.1079    /	828.12         	/	28.27          
0.1079    /	847.66         	/	23.14          
0.1079    /	867.19         	/	11.01          
0.1079    /	886.72         	/	17.27          
0.1079    /	906.25         	/	6.05           
0.1079    /	925.78         	/	5.70           
0.1079    /	945.31         	/	4.38           
0.1079    /	964.84         	/	16.03          
0.1079    /	984.38         	/	17.53          
0.1079    /	1003.91        	/	26.76          
0.1079    /	1023.44        	/	34.55          
0.1079    /	1042.97        	/	91.26          
0.1079    /	1062.50        	/	94.31          
