Tiempo [s]/	Frecuencia [Hz]	/	Intesidad [dB] 	/	Formante 1 [Hz]	/	Formante 2 [Hz]	/	Formante 3 [Hz]
0.0250    /	137.69         	/	80.04          	/	727.09         	/	1403.38        	/	2636.36        
0.0350    /	138.21         	/	80.04          	/	725.52         	/	1411.78        	/	2625.08        
0.0450    /	138.88         	/	79.79          	/	737.76         	/	1423.11        	/	2624.22        
0.0550    /	139.92         	/	79.72          	/	739.40         	/	1437.06        	/	2635.35        
0.0650    /	141.15         	/	79.76          	/	740.14         	/	1437.92        	/	2621.91        
0.0750    /	142.00         	/	79.63          	/	734.06         	/	1431.09        	/	2596.06        
0.0850    /	142.80         	/	79.33          	/	735.57         	/	1458.11        	/	2599.23        
0.0950    /	143.38         	/	79.06          	/	734.61         	/	1452.97        	/	2588.01        
0.1050    /	144.01         	/	78.97          	/	734.07         	/	1441.48        	/	2597.78        
0.1150    /	144.45         	/	78.91          	/	730.96         	/	1439.48        	/	2616.76        
0.1250    /	145.00         	/	78.92          	/	729.55         	/	1440.86        	/	2627.40        
0.1350    /	146.05         	/	79.17          	/	730.59         	/	1441.26        	/	2629.94        
0.1450    /	146.56         	/	79.40          	/	729.33         	/	1433.33        	/	2596.75        
0.1550    /	146.71         	/	79.55          	/	723.78         	/	1408.38        	/	2575.00        
0.1650    /	147.10         	/	79.52          	/	724.27         	/	1405.73        	/	2576.35        
0.1750    /	147.72         	/	79.35          	/	724.83         	/	1410.71        	/	2568.92        
0.1850    /	148.53         	/	79.22          	/	727.23         	/	1405.65        	/	2566.91        
0.1950    /	148.88         	/	79.20          	/	730.31         	/	1396.57        	/	2573.41        
0.2050    /	149.00         	/	79.09          	/	731.41         	/	1396.33        	/	2573.25        
0.2150    /	149.25         	/	78.93          	/	733.88         	/	1398.35        	/	2586.29        
0.2250    /	149.14         	/	78.92          	/	733.15         	/	1399.13        	/	2584.01        
0.2350    /	149.15         	/	78.91          	/	731.82         	/	1396.28        	/	2586.14        
