Time [s]  /	Amplitud       
3.125e-05 /	0.01217688528092288
9.375e-05 /	0.0            
0.00015625/	-0.028717917416913357
0.00021875/	-0.04385509811700797
0.00028125000000000003/	-0.04165776543473617
0.00034375/	-0.03604235969115269
0.00040625000000000004/	-0.03775139622180853
0.00046875/	-0.04647968993194372
0.00053125/	-0.05166783654286325
0.0005937500000000001/	-0.04718161564989166
0.00065625/	-0.031037324137089144
0.00071875/	0.00466933194982757
0.00078125/	0.05096591082491531
0.0008437500000000001/	0.07486190374462111
0.00090625/	0.06625568407238991
0.00096875/	0.05490279854731895
0.00103125/	0.059297463911862545
0.00109375/	0.06350901821955016
0.0011562500000000002/	0.05572679830317087
0.00121875/	0.04272591326639607
0.00128125/	0.029175695059053316
0.0013437500000000001/	0.01467940305795465
0.00140625/	0.0028077028717917417
0.00146875/	-0.0004882961516159551
0.00153125/	0.003906369212927641
0.0015937500000000001/	0.008972441785943175
0.0016562500000000002/	0.0032959990234076968
0.00171875/	-0.018189031647694327
0.00178125/	-0.03738517410809656
0.0018437500000000001/	-0.03347880489516892
0.00190625/	-0.015533921323282572
0.00196875/	-0.0022583697012237922
0.00203125/	0.012695699942014832
0.00209375/	-0.0032349620044557024
0.00215625/	-0.1662343211157567
0.0022187500000000002/	-0.4292428357799005
0.0022812500000000003/	-0.46113467818231757
0.00234375/	-0.16571550645466476
0.00240625/	0.050202948088015384
0.00246875/	-0.04293954283272805
0.00253125/	-0.12115848261970885
0.00259375/	0.050813318277535324
0.00265625/	0.23664052247688222
0.0027187500000000002/	0.22089297158726767
0.00278125/	0.1512497329630421
0.00284375/	0.20245979186376536
0.00290625/	0.24222540971098971
0.00296875/	0.07754753257850887
0.00303125/	-0.11612292855616932
0.00309375/	-0.019318216498306222
0.00315625/	0.23996704000976593
0.0032187500000000003/	0.26377147740104373
0.0032812500000000003/	0.05914487136448256
0.00334375/	-0.03421124912259285
0.00340625/	0.02838221381267739
0.00346875/	-0.00012207403790398877
0.00353125/	-0.13553270058290354
0.00359375/	-0.184698019348735
0.00365625/	-0.16238898892178105
0.0037187500000000003/	-0.22312082277901546
0.00378125/	-0.32132938627277446
0.00384375/	-0.2764366588335826
0.00390625/	-0.07815790276802881
0.00396875/	0.0966826380199591
0.00403125/	0.130436109500412
0.00409375/	0.09741508224738304
0.00415625/	0.11258278145695365
0.00421875/	0.1491134372997223
0.00428125/	0.14517654957731865
0.00434375/	0.14166692098757896
0.0044062500000000004/	0.15488143559068576
0.0044687500000000005/	0.11316263313699759
